[23:38:19] === greece ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== greece ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
wrote 45142 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/greece.parquet
pre-filter (--only-wikidata): 45142 -> 971 rows

971 polygons with wikidata=*
  matched:           463
  no en sitelink:    440
  no sitelinks:      68
  Q370485 (greece/relation/35796321) -> matched: Atalanti Island  [body: 1530 chars]
  Q12886086 (greece/relation/1926365) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20921262 (greece/relation/1926357) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24990356 (greece/relation/35646105) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25117422 (greece/relation/35796359) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12880644 (greece/relation/3452789) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25006525 (greece/relation/35796365) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25018858 (greece/relation/35793913) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24997497 (greece/relation/35795527) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33633067 (greece/relation/35795529) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q110359638 (greece/relation/35793915) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12881395 (greece/relation/35795547) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12872148 (greece/relation/35795523) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16331935 (greece/relation/35795507) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q587421 (greece/relation/1086411) -> matched: Spetsopoula  [body: 1290 chars]
  Q16330167 (greece/relation/1086423) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25023310 (greece/relation/25215705) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16523372 (greece/relation/1086417) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12882506 (greece/relation/1086429) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25024279 (greece/relation/25215731) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16327349 (greece/relation/35795521) -> matched: Agios Thomas Diaporion  [body: 399 chars]
  Q12884825 (greece/relation/1086425) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21540873 (greece/relation/35793887) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3321501 (greece/relation/1624741) -> matched: Drakonera  [body: 440 chars]
  Q1814390 (greece/relation/1624715) -> matched: Vromonas  [body: 166 chars]
  Q16523324 (greece/relation/1624711) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6372545 (greece/relation/1624735) -> matched: Karlonisi  [body: 335 chars]
  Q7554437 (greece/relation/1624749) -> matched: Sofía (Echinades)  [body: 364 chars]
  Q3438238 (greece/relation/1624745) -> matched: Pistros  [body: 161 chars]
  Q7849320 (greece/relation/1624739) -> matched: Tsakalonisi  [body: 391 chars]
  Q6482521 (greece/relation/1624743) -> matched: Lamprinos  [body: 185 chars]
  Q1814361 (greece/relation/1624731) -> matched: Pontikos  [body: 161 chars]
  Q3044679 (greece/relation/1624717) -> matched: Petalas  [body: 833 chars]
  Q6354182 (greece/relation/1624755) -> matched: Kalogiros (Echinades)  [body: 190 chars]
  Q3438553 (greece/relation/1624733) -> matched: Prováti  [body: 159 chars]
  Q3325738 (greece/relation/1624713) -> matched: Makri (island)  [body: 960 chars]
  Q21556059 (greece/relation/1624721) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1303524 (greece/relation/1918387) -> matched: Sphacteria  [body: 499 chars]
  Q2512852 (greece/relation/1918423) -> matched: Venetiko  [body: 590 chars]
  Q187039 (greece/relation/1918389) -> matched: Sapientza  [body: 2044 chars]
  Q2236603 (greece/relation/1918421) -> matched: Schiza  [body: 609 chars]
  Q15119080 (greece/relation/1918419) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q838558 (greece/relation/1918379) -> matched: Proti Island  [body: 717 chars]
  Q1695903 (greece/relation/1094089) -> matched: Velopoula  [body: 224 chars]
  Q25018854 (greece/relation/35794551) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q473026 (greece/relation/1728515) -> matched: Pondikonisi  [body: 326 chars]
  Q2292879 (greece/relation/1625549) -> matched: Skorpidi Lefkada  [body: 320 chars]
  Q16327814 (greece/relation/1625561) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12883690 (greece/relation/32476679) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16332581 (greece/relation/1087701) -> no_lang_sitelink: (no article)  [body: 0 chars]
