[23:13:25] === estonia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== estonia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/estonia.parquet
pre-filter (--only-wikidata): 47160 -> 1125 rows

1125 polygons with wikidata=*
  matched:           316
  no en sitelink:    765
  no sitelinks:      44
  Q61398075 (estonia/way/83324612) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61398479 (estonia/way/83324614) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12378952 (estonia/way/83577698) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23888969 (estonia/way/84055224) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23888628 (estonia/way/84055230) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12365632 (estonia/way/84423036) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16408905 (estonia/way/84423044) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18626515 (estonia/way/84425052) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12373249 (estonia/way/84594934) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61399841 (estonia/way/84594936) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61399839 (estonia/way/84594940) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q18623530 (estonia/way/86016262) -> matched: Türi Central Cemetery  [body: 930 chars]
  Q31276249 (estonia/way/86016268) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31273853 (estonia/way/86016272) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16412019 (estonia/relation/604383) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61398660 (estonia/way/87437818) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7124077 (estonia/way/90897240) -> matched: Paelaid  [body: 161 chars]
  Q1472222 (estonia/way/90904506) -> matched: Nootamaa  [body: 658 chars]
  Q1500065 (estonia/way/90907198) -> matched: Viirelaid  [body: 923 chars]
  Q55183235 (estonia/way/90907746) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7382679 (estonia/way/90908210) -> matched: Rusulaid  [body: 198 chars]
  Q55134092 (estonia/way/90912500) -> no_lang_sitelink: (no article)  [body: 0 chars]
