[00:38:10] === belgium ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== belgium ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
wrote 125108 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/belgium.parquet
pre-filter (--only-wikidata): 125108 -> 1005 rows

1005 polygons with wikidata=*
  matched:           223
  no en sitelink:    706
  no sitelinks:      76
  Q263432 (belgium/way/46343388) -> matched: Schaerbeek Cemetery  [body: 1829 chars]
  Q21619522 (belgium/way/46346314) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1830155 (belgium/way/46384474) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2372472 (belgium/way/46598764) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2460243 (belgium/way/46746312) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2629747 (belgium/way/46746572) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1920549 (belgium/way/46758012) -> matched: Ghent University Hospital  [body: 658 chars]
  Q932873 (belgium/way/46882734) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q29019683 (belgium/way/46956614) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q75280802 (belgium/way/46978864) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3121860 (belgium/way/46979236) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2689526 (belgium/way/47054872) -> matched: Brasschaat Airfield  [body: 420 chars]
  Q2347208 (belgium/way/47089676) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q42432018 (belgium/way/47214214) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3364328 (belgium/way/47214744) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3162373 (belgium/way/47215188) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3363917 (belgium/way/47215372) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2034179 (belgium/way/47219360) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q115786995 (belgium/way/47386740) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q521496 (belgium/way/47555794) -> matched: Abattoirs of Anderlecht  [body: 10253 chars]
  Q2243137 (belgium/way/47584454) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q131544524 (belgium/way/47745348) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2905240 (belgium/way/48050150) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2464471 (belgium/way/48306932) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2317684 (belgium/way/48622308) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2322446 (belgium/way/48723600) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12000008 (belgium/way/48788122) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q131702358 (belgium/way/49652306) -> no_sitelinks: (no article)  [body: 0 chars]
  Q13571155 (belgium/way/49696050) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3398541 (belgium/way/49709150) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3145145 (belgium/way/49848470) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q114770313 (belgium/way/51150454) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4358109 (belgium/way/51172470) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q23498423 (belgium/way/52455778) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2241543 (belgium/way/52523846) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2094247 (belgium/way/52888198) -> matched: Lake Nisramont  [body: 678 chars]
  Q2136611 (belgium/way/54413654) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2137188 (belgium/way/54620962) -> matched: ArcelorMittal Ghent  [body: 4706 chars]
  Q2602922 (belgium/way/54832896) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q33100630 (belgium/way/55683446) -> no_sitelinks: (no article)  [body: 0 chars]
  Q5395397 (belgium/way/55778034) -> matched: Campo Santo, Ghent  [body: 2098 chars]
  Q888402 (belgium/way/56118098) -> matched: Bobbejaanland  [body: 4473 chars]
  Q749804 (belgium/way/56623848) -> matched: Lommel German war cemetery  [body: 6551 chars]
  Q1849108 (belgium/way/57151172) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12800833 (belgium/way/58009218) -> matched: NATO headquarters  [body: 7330 chars]
  Q3034447 (belgium/way/58412026) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q63379035 (belgium/way/58903412) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q29584057 (belgium/way/59753498) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1515214 (belgium/way/59996480) -> matched: Royal Military Academy (Belgium)  [body: 4493 chars]
  Q681917 (belgium/way/60178704) -> matched: Collège Saint-Michel  [body: 2759 chars]
  Q2234493 (belgium/way/60209546) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q522700 (belgium/way/60221522) -> matched: Saint-Josse-ten-Noode Cemetery  [body: 1199 chars]
  Q4971004 (belgium/way/60288008) -> matched: British School of Brussels  [body: 4152 chars]
  Q1864795 (belgium/way/60295998) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q62065600 (belgium/way/60339946) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3457458 (belgium/way/60496830) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q117190862 (belgium/way/60501772) -> no_sitelinks: (no article)  [body: 0 chars]
  Q21771919 (belgium/way/60717110) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q4382198 (belgium/way/60902122) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q36623094 (belgium/way/60998126) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2632521 (belgium/way/61211900) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2236392 (belgium/way/61253396) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q95153477 (belgium/way/61259738) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q109315597 (belgium/way/61259888) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2262401 (belgium/way/61262802) -> matched: Saint-Gilles Prison  [body: 9081 chars]
  Q3799688 (belgium/way/61294220) -> matched: International School of Brussels  [body: 4875 chars]
  Q3364145 (belgium/way/61326712) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2371999 (belgium/way/61354176) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2846622 (belgium/way/62531120) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16687387 (belgium/way/62600008) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q46655311 (belgium/way/62854066) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1704088 (belgium/way/62930476) -> matched: Josaphat Park  [body: 14037 chars]
  Q2401934 (belgium/way/63808512) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2217534 (belgium/way/63954456) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q41536029 (belgium/way/63954558) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q41536029 (belgium/way/63954590) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21765964 (belgium/way/64074868) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15978803 (belgium/way/64474466) -> matched: Enghien Gardens  [body: 8718 chars]
  Q17494227 (belgium/way/64505608) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q60831886 (belgium/way/64532070) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q30742631 (belgium/way/64859830) -> no_lang_sitelink: (no article)  [body: 0 chars]
