[23:50:09] === hungary ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== hungary ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/hungary.parquet
wrote 77569 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/hungary.parquet
pre-filter (--only-wikidata): 77569 -> 461 rows

461 polygons with wikidata=*
  matched:           141
  no en sitelink:    303
  no sitelinks:      17
  Q1473559 (hungary/way/818275274) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q922178 (hungary/relation/12443295) -> matched: Budapest Zoo and Botanical Garden  [body: 6479 chars]
  Q1105314 (hungary/way/838632834) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q637344 (hungary/relation/12498237) -> matched: Széktói Stadion  [body: 922 chars]
  Q911360 (hungary/relation/12588855) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20439946 (hungary/relation/13187409) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1214901 (hungary/way/886428304) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14906896 (hungary/relation/13612343) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q991839 (hungary/way/926036296) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q909489 (hungary/way/950704698) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21971251 (hungary/relation/13993757) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q138848423 (hungary/relation/13993969) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26232165 (hungary/way/960065938) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q535617 (hungary/relation/14133441) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q84558964 (hungary/relation/14330941) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q137299627 (hungary/relation/10685875) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q28722669 (hungary/way/981206564) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q28722669 (hungary/way/981210282) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1186781 (hungary/relation/14418765) -> matched: Tápiószentmárton  [body: 335 chars]
  Q631317 (hungary/way/986093414) -> matched: Széchenyi István University  [body: 4594 chars]
  Q28722669 (hungary/way/988470986) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q130501485 (hungary/way/992925370) -> no_sitelinks: (no article)  [body: 0 chars]
  Q60715833 (hungary/relation/14626351) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q263482 (hungary/way/1007939310) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1315072 (hungary/relation/14726673) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1467475 (hungary/relation/4524465) -> matched: Zirc Arboretum  [body: 362 chars]
  Q5926649 (hungary/relation/12847097) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1212282 (hungary/relation/15212705) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1240990 (hungary/relation/15335457) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q56045985 (hungary/relation/8892705) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q56045985 (hungary/relation/14461489) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26232158 (hungary/relation/15499867) -> matched: Lupa Island (Hungary)  [body: 434 chars]
  Q64886351 (hungary/relation/15563393) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20440045 (hungary/relation/15569125) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q571326 (hungary/relation/444675) -> matched: Szigetbecse  [body: 68 chars]
  Q1160330 (hungary/relation/5951927) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1106224 (hungary/relation/9255307) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1097711 (hungary/relation/3372065) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q64549128 (hungary/relation/16019057) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q26232930 (hungary/relation/16213217) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1673481 (hungary/way/1141382414) -> no_lang_sitelink: (no article)  [body: 0 chars]
