[23:27:30] === serbia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== serbia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/serbia.parquet
wrote 47189 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/serbia.parquet
pre-filter (--only-wikidata): 47189 -> 400 rows

400 polygons with wikidata=*
  matched:           187
  no en sitelink:    210
  no sitelinks:      3
  Q948600 (serbia/way/576363960) -> matched: Batajnica Air Base  [body: 1964 chars]
  Q1433155 (serbia/way/584752392) -> matched: Valjevo Airfield  [body: 848 chars]
  Q7544337 (serbia/way/584884232) -> matched: Smederevo Airfield  [body: 517 chars]
  Q960839 (serbia/way/592368456) -> matched: Mediana  [body: 7536 chars]
  Q2944932 (serbia/way/603675902) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97329813 (serbia/way/603764994) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q956421 (serbia/way/605096946) -> matched: City Park, Zemun  [body: 13795 chars]
  Q61131960 (serbia/way/686711442) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12758983 (serbia/way/688338296) -> matched: Slobodište  [body: 2426 chars]
  Q25461855 (serbia/way/721848358) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1664939 (serbia/way/740453508) -> matched: Vinča Nuclear Institute  [body: 5141 chars]
  Q17496778 (serbia/way/760294216) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q6435989 (serbia/way/775326430) -> matched: Brege Airfield  [body: 332 chars]
  Q110046746 (serbia/way/784348552) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31181809 (serbia/way/787809898) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906884 (serbia/way/787809908) -> matched: Block 45  [body: 23266 chars]
  Q25469380 (serbia/way/793783126) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2788431 (serbia/way/798107184) -> matched: Banjički Vis Military Base  [body: 398 chars]
  Q3543822 (serbia/way/800587604) -> matched: Sjenica Airport  [body: 2368 chars]
  Q2906883 (serbia/way/806989196) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906886 (serbia/way/806990116) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q110049896 (serbia/way/815144292) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2184917 (serbia/way/825964504) -> matched: FK Teleoptik  [body: 2061 chars]
  Q47537748 (serbia/relation/37638781) -> matched: Dijamant  [body: 3783 chars]
  Q3177898 (serbia/way/830348344) -> matched: Leskova  [body: 1505 chars]
  Q61124588 (serbia/way/835703036) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q231499 (serbia/relation/2641465) -> matched: Zvornik Lake  [body: 1393 chars]
  Q61358878 (serbia/way/838542356) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q17076202 (serbia/relation/9193439) -> matched: Forkontumac  [body: 2291 chars]
  Q20436960 (serbia/way/887582768) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1409017 (serbia/way/901648252) -> matched: Belgrade Fortress  [body: 60711 chars]
  Q23198806 (serbia/way/907588126) -> matched: Rovni Lake  [body: 3439 chars]
  Q1154314 (serbia/relation/23214699) -> matched: Grbavica, Novi Sad  [body: 1292 chars]
  Q20436933 (serbia/way/964924638) -> matched: Memorial Park Jajinci  [body: 5136 chars]
  Q2906888 (serbia/way/989718332) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q14766989 (serbia/way/992217170) -> matched: Hesteel Serbia  [body: 4700 chars]
  Q48806817 (serbia/way/1012577154) -> matched: Milan Blagojević - Namenska  [body: 3599 chars]
  Q753941 (serbia/relation/23214681) -> matched: Telep  [body: 3506 chars]
  Q4682697 (serbia/relation/23214683) -> matched: Adice  [body: 1231 chars]
  Q6356887 (serbia/way/1024538376) -> matched: Kamenjar  [body: 220 chars]
  Q7601903 (serbia/relation/23214703) -> matched: Stari Grad, Novi Sad  [body: 6868 chars]
  Q7206629 (serbia/relation/23214705) -> matched: Podbara  [body: 1243 chars]
  Q6591637 (serbia/relation/23214707) -> matched: Salajka  [body: 1173 chars]
  Q6593788 (serbia/relation/23214685) -> matched: Satelit  [body: 1940 chars]
  Q6421133 (serbia/relation/23214713) -> matched: Klisa, Serbia  [body: 1606 chars]
  Q3497747 (serbia/way/1025099650) -> matched: Morava Airport  [body: 8989 chars]
  Q4680199 (serbia/relation/23214701) -> matched: Adamovićevo Naselje  [body: 3289 chars]
  Q7928137 (serbia/relation/23214717) -> matched: Vidovdansko Naselje  [body: 1371 chars]
  Q7538619 (serbia/relation/23214715) -> matched: Slana Bara  [body: 2383 chars]
  Q12749046 (serbia/way/1033368670) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12759414 (serbia/way/1057797030) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97202699 (serbia/way/1065204728) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q110048372 (serbia/way/1084682858) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q560385 (serbia/way/1174939640) -> matched: Island of Vukovar  [body: 2358 chars]
  Q31183134 (serbia/way/1186938398) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2906867 (serbia/way/1186938400) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q31181839 (serbia/way/1188742892) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16083681 (serbia/way/1188742894) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q122070021 (serbia/way/1200919388) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12751617 (serbia/way/1210100146) -> matched: Ljubičevo stable  [body: 2746 chars]
  Q12754839 (serbia/way/1233034464) -> matched: Kaona Monastery  [body: 2607 chars]
  Q14932139 (serbia/way/1292117404) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q17098299 (serbia/way/1306973944) -> matched: Military Technical Institute  [body: 9322 chars]
  Q2733526 (serbia/way/1339154130) -> matched: Pecka (Osečina)  [body: 175 chars]
  Q25312362 (serbia/relation/18691325) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q54860499 (serbia/way/1348571866) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3415728 (serbia/way/1350814360) -> matched: Serbia Zijin Bor Copper  [body: 8265 chars]
  Q8082868 (serbia/way/1351665124) -> matched: Štark  [body: 2686 chars]
  Q16086603 (serbia/way/1361912042) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12747964 (serbia/relation/18903955) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q901676 (serbia/way/1362563596) -> matched: Galenika a.d.  [body: 2745 chars]
  Q25464235 (serbia/way/1362995656) -> matched: Belgrade Hippodrome  [body: 5963 chars]
  Q3109399 (serbia/relation/18921033) -> matched: Zaovine Lake  [body: 6043 chars]
  Q854655 (serbia/way/1387479020) -> matched: Beška Bridge  [body: 1789 chars]
  Q3444519 (serbia/relation/19354623) -> matched: Zasavica (bog)  [body: 14084 chars]
