[02:02:42] === netherlands ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== netherlands ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
wrote 169468 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/netherlands.parquet
pre-filter (--only-wikidata): 169468 -> 1738 rows

1738 polygons with wikidata=*
  matched:           283
  no en sitelink:    1307
  no sitelinks:      148
  Q2000861 (netherlands/way/12637240) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q128939339 (netherlands/way/12637318) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2011976 (netherlands/way/12637746) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2522124 (netherlands/way/12637964) -> matched: Groote Lindt  [body: 3602 chars]
  Q128939328 (netherlands/way/12638120) -> no_sitelinks: (no article)  [body: 0 chars]
  Q15875473 (netherlands/way/12638222) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2569045 (netherlands/way/12638422) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1899730 (netherlands/way/12638516) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q128939334 (netherlands/way/12638562) -> no_sitelinks: (no article)  [body: 0 chars]
  Q2137726 (netherlands/way/12638636) -> matched: Spaanse Polder  [body: 59 chars]
  Q2111202 (netherlands/way/12638654) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q128796303 (netherlands/way/12638670) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q128859763 (netherlands/way/12638732) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q121725802 (netherlands/way/12639078) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3386239 (netherlands/way/12639106) -> matched: Forepark  [body: 891 chars]
  Q1863720 (netherlands/way/12639356) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2684768 (netherlands/way/12639590) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2480072 (netherlands/way/12639614) -> matched: Media Park (Hilversum)  [body: 2304 chars]
  Q2273859 (netherlands/way/12639616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1613551 (netherlands/way/12639778) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1613551 (netherlands/way/12639824) -> no_lang_sitelink: (no article)  [body: 0 chars]
