[00:08:23] === croatia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== croatia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/croatia.parquet
wrote 47140 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/croatia.parquet
pre-filter (--only-wikidata): 47140 -> 625 rows

625 polygons with wikidata=*
  matched:           188
  no en sitelink:    427
  no sitelinks:      10
  Q7851227 (croatia/way/17676708) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507043 (croatia/way/17676710) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506730 (croatia/way/17676716) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507575 (croatia/way/17676722) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508452 (croatia/way/17676726) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3509436 (croatia/way/17676780) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3507119 (croatia/way/17676790) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3435313 (croatia/way/17676808) -> matched: Arta Velika  [body: 1062 chars]
  Q4251410 (croatia/way/17676854) -> matched: Ošljak (island)  [body: 637 chars]
  Q16110975 (croatia/way/17676860) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12786553 (croatia/way/17676882) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506605 (croatia/way/17676922) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12644494 (croatia/way/17676936) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508508 (croatia/way/17979772) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3510651 (croatia/way/17979846) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12644989 (croatia/way/17979848) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12644486 (croatia/way/17979876) -> no_lang_sitelink: (no article)  [body: 0 chars]
