[01:47:44] === lithuania ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== lithuania ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/lithuania.parquet
wrote 76550 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/lithuania.parquet
pre-filter (--only-wikidata): 76550 -> 2146 rows

2146 polygons with wikidata=*
  matched:           117
  no en sitelink:    2017
  no sitelinks:      12
  Q61383517 (lithuania/way/57368576) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12656636 (lithuania/way/57368794) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12653434 (lithuania/way/57369042) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12679095 (lithuania/way/57369144) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16450324 (lithuania/way/57369150) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25498623 (lithuania/way/57411264) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61386126 (lithuania/way/57411274) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q25498336 (lithuania/way/57481538) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97216865 (lithuania/way/57579534) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20503658 (lithuania/way/57584286) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12655440 (lithuania/way/57689350) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16471961 (lithuania/way/57689424) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16464375 (lithuania/way/57689608) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12676182 (lithuania/way/57689772) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97344708 (lithuania/way/57689808) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q80825601 (lithuania/way/57690074) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61387829 (lithuania/way/57736954) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16452509 (lithuania/way/57736986) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12655446 (lithuania/way/57737614) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12666831 (lithuania/way/57737642) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61387508 (lithuania/way/57737686) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61387474 (lithuania/way/57737746) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12677180 (lithuania/way/57742512) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12665098 (lithuania/way/57742536) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65259511 (lithuania/way/57742556) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16474850 (lithuania/way/58314866) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21865988 (lithuania/way/58336434) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20677863 (lithuania/relation/15023813) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21615710 (lithuania/relation/15024169) -> matched: Shabany  [body: 677 chars]
  Q61384049 (lithuania/way/61325952) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12663105 (lithuania/way/62230046) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61386056 (lithuania/way/71558456) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12653476 (lithuania/way/71558464) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16452831 (lithuania/way/71907730) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12654064 (lithuania/way/72460400) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16452815 (lithuania/way/73549510) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61383977 (lithuania/way/73566018) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12659516 (lithuania/way/73566026) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16459683 (lithuania/way/73566032) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12665100 (lithuania/way/73566038) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61387629 (lithuania/way/73741930) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65260430 (lithuania/way/74224616) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12653477 (lithuania/way/74224634) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q61386101 (lithuania/way/74224686) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12680010 (lithuania/way/74738844) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16457439 (lithuania/way/74738846) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16452651 (lithuania/way/74746526) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q97344762 (lithuania/way/75218752) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q65260990 (lithuania/way/75389194) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12650239 (lithuania/way/75394258) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16452819 (lithuania/way/75394488) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12656646 (lithuania/way/75394504) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12656349 (lithuania/way/75394528) -> no_lang_sitelink: (no article)  [body: 0 chars]
