[23:33:09] === iceland ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== iceland ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
wrote 47896 polygons from 1 countries -> /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/iceland.parquet
pre-filter (--only-wikidata): 47896 -> 471 rows

471 polygons with wikidata=*
  matched:           166
  no en sitelink:    302
  no sitelinks:      3
  Q1728656 (iceland/way/422416846) -> matched: Kaplakriki  [body: 1469 chars]
  Q27016265 (iceland/relation/5166157) -> matched: Klambratún  [body: 428 chars]
  Q49306973 (iceland/relation/5750807) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2875885 (iceland/way/459227242) -> matched: Patreksfjörður Airport  [body: 533 chars]
  Q1494458 (iceland/way/472575296) -> matched: Krafla Power Station  [body: 3310 chars]
  Q16428816 (iceland/relation/5166151) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11652325 (iceland/way/498191328) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q7427650 (iceland/way/540495456) -> matched: Sauðárkróksvöllur  [body: 778 chars]
  Q16430464 (iceland/way/581964722) -> matched: Kleppur  [body: 2482 chars]
  Q2508514 (iceland/way/593820704) -> matched: Hellisheiði Power Station  [body: 2532 chars]
  Q3480343 (iceland/way/613244602) -> matched: Sauðárkrókur Airport  [body: 730 chars]
  Q3115501 (iceland/relation/28110273) -> matched: Súlnasker  [body: 127 chars]
  Q3100273 (iceland/relation/19207717) -> matched: Geldungur  [body: 144 chars]
  Q16422308 (iceland/way/639449894) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16423209 (iceland/way/731947486) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16038770 (iceland/relation/10888131) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1134292 (iceland/way/744811292) -> matched: Iceland University of the Arts  [body: 2757 chars]
