[09:09:22] big4 starting
[09:09:22] >>> slovakia
[09:09:22] === slovakia ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 14400s

=== slovakia ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/slovakia.parquet
pre-filter (--only-wikidata): 54888 -> 4825 rows

4825 polygons with wikidata=*
  matched:           3473
  no en sitelink:    1206
  no sitelinks:      146
  Q12762199 (slovakia/relation/21623433) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861258 (slovakia/relation/21584273) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860318 (slovakia/way/161786902) -> matched: Číčovské mŕtve rameno  [body: 699 chars]
  Q20901864 (slovakia/way/161786904) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860704 (slovakia/way/161786906) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860689 (slovakia/way/161786908) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860470 (slovakia/way/161786910) -> matched: Horný les  [body: 921 chars]
  Q20902946 (slovakia/way/161786926) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861154 (slovakia/way/161786934) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12769824 (slovakia/way/161786938) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901827 (slovakia/way/161786966) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12774815 (slovakia/way/161786970) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20902968 (slovakia/way/161786988) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860565 (slovakia/way/161786992) -> matched: Jurské jazero  [body: 470 chars]
  Q12766654 (slovakia/way/161786994) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860506 (slovakia/way/161786998) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20864440 (slovakia/way/161787004) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860683 (slovakia/way/161787016) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860754 (slovakia/way/161787024) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860878 (slovakia/way/161787030) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13539076 (slovakia/way/161787040) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861085 (slovakia/way/161787054) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861890 (slovakia/way/161787058) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861327 (slovakia/way/161787068) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860849 (slovakia/way/161787070) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860865 (slovakia/way/161787072) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861322 (slovakia/way/161787074) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861105 (slovakia/way/161787078) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860231 (slovakia/way/161787080) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q28037982 (slovakia/way/161787086) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860406 (slovakia/relation/2433403) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860204 (slovakia/relation/21629721) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860324 (slovakia/way/161787094) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860590 (slovakia/way/161787106) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20894509 (slovakia/way/161787114) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12763356 (slovakia/way/161787122) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860715 (slovakia/way/161787154) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20056708 (slovakia/way/161787164) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20755535 (slovakia/way/161787174) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12766923 (slovakia/way/161787208) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13403680 (slovakia/way/161787216) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861122 (slovakia/way/161787238) -> matched: Strmina  [body: 555 chars]
  Q12774809 (slovakia/way/161787266) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20895225 (slovakia/way/161787284) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901835 (slovakia/way/161794532) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q11774950 (slovakia/way/161794624) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861237 (slovakia/way/161794730) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901859 (slovakia/way/161794740) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861283 (slovakia/way/161794786) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q15644043 (slovakia/way/161794794) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20866601 (slovakia/way/161794812) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860284 (slovakia/way/161794826) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860428 (slovakia/way/161794834) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860257 (slovakia/way/161794872) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860732 (slovakia/way/161794954) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861099 (slovakia/way/161795000) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13419805 (slovakia/way/161795012) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860604 (slovakia/way/161795044) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861161 (slovakia/way/161795088) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20865891 (slovakia/way/161795128) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q30916519 (slovakia/way/161795148) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20894506 (slovakia/way/161795180) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860366 (slovakia/way/161795208) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861901 (slovakia/way/161795218) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860510 (slovakia/way/161795220) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860883 (slovakia/way/161795264) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861100 (slovakia/way/161795282) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861095 (slovakia/way/161795302) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901942 (slovakia/way/161795310) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860315 (slovakia/relation/21631285) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861323 (slovakia/way/161795368) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861039 (slovakia/relation/21631411) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20866621 (slovakia/way/161795402) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860345 (slovakia/way/161795414) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20866403 (slovakia/way/161795424) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q27866288 (slovakia/way/161795476) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860852 (slovakia/way/161795590) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860949 (slovakia/relation/21629935) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860238 (slovakia/way/161795626) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860687 (slovakia/way/161795642) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12769681 (slovakia/way/161795664) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3128707 (slovakia/way/161795704) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860522 (slovakia/relation/21622975) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20866661 (slovakia/way/161795746) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860347 (slovakia/way/161795786) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861066 (slovakia/way/161795802) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13425563 (slovakia/way/161795834) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860829 (slovakia/way/161795862) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20902954 (slovakia/way/161795914) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20866660 (slovakia/way/161795942) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861144 (slovakia/way/161795948) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901904 (slovakia/relation/21631345) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860578 (slovakia/way/161795976) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860230 (slovakia/way/161796024) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12766974 (slovakia/relation/21622791) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901866 (slovakia/way/161796074) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861349 (slovakia/way/161796114) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861235 (slovakia/way/161796136) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20894002 (slovakia/way/161796156) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860595 (slovakia/way/161796194) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861231 (slovakia/way/161796208) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860685 (slovakia/way/161796224) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860381 (slovakia/way/161796256) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860624 (slovakia/way/161796282) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860270 (slovakia/way/161796294) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3508018 (slovakia/way/161796330) -> matched: Zádielska tiesňava  [body: 597 chars]
  Q20860952 (slovakia/way/161796376) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24192657 (slovakia/way/161796410) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12762986 (slovakia/way/161796464) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13537653 (slovakia/way/161796526) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860598 (slovakia/way/161796542) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860300 (slovakia/way/161796556) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860514 (slovakia/relation/21631341) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901903 (slovakia/way/161796596) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q13537652 (slovakia/way/161796640) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20902926 (slovakia/relation/21631297) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16957140 (slovakia/way/161796754) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860442 (slovakia/way/161796802) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q12350675 (slovakia/way/161796900) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506556 (slovakia/relation/21630619) -> matched: Súľov Rocks  [body: 440 chars]
  Q12030212 (slovakia/way/161797014) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24052020 (slovakia/way/161797100) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860591 (slovakia/way/161797120) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861274 (slovakia/way/161797142) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861032 (slovakia/way/161797156) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861113 (slovakia/way/161797168) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860342 (slovakia/way/161797228) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q3506806 (slovakia/relation/21622985) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20861909 (slovakia/way/161797262) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20901860 (slovakia/way/161797290) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20866668 (slovakia/way/161797302) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20860253 (slovakia/way/161797312) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24237141 (slovakia/way/161797330) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1316825 (slovakia/way/161797340) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20860461 (slovakia/way/161797354) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20860365 (slovakia/way/161797374) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20860651 (slovakia/way/161797414) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20861311 (slovakia/relation/21631507) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20866424 (slovakia/relation/21631317) -> no_sitelinks: (no article)  [body: 0 chars]
  Q12032113 (slovakia/way/161797454) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20861065 (slovakia/way/161797466) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20860492 (slovakia/way/161797488) -> no_sitelinks: (no article)  [body: 0 chars]
  Q20860473 (slovakia/way/161797508) -> no_sitelinks: (no article)  [body: 0 chars]
