[03:31:13] === austria ===
OSM_DATA_ROOT = /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles
SAMPLES_ROOT  = /Users/noeflandre/osm-polygon-to-wikipedia-articles/data/samples
countries     = 1
per-step timeout: 3600s

=== austria ===
  source: /Volumes/Seagate M3/osm-polygon-to-wikipedia-articles/austria.parquet
pre-filter (--only-wikidata): 133711 -> 1245 rows

1245 polygons with wikidata=*
  matched:           284
  no en sitelink:    875
  no sitelinks:      86
  Q21875140 (austria/way/24328066) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21875142 (austria/way/24328240) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q21875145 (austria/way/24328372) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16216415 (austria/way/27418778) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q736650 (austria/way/27534748) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q138606701 (austria/way/27539116) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q138590074 (austria/way/27539150) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q227848 (austria/way/28267342) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q20183995 (austria/way/30015948) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2311334 (austria/way/30906964) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1748480 (austria/way/31440266) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q16894162 (austria/way/31480700) -> matched: Linz-East Glider Field  [body: 276 chars]
  Q1433869 (austria/way/31791162) -> matched: Spitzerberg Airport  [body: 389 chars]
  Q2264576 (austria/way/35451098) -> matched: Seebensee  [body: 2028 chars]
  Q876658 (austria/way/36107912) -> matched: Gösselsdorfer See  [body: 298 chars]
  Q21875847 (austria/way/37527654) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q24846697 (austria/way/39680084) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q2133487 (austria/way/41153142) -> matched: Rauschelesee  [body: 173 chars]
  Q1000868 (austria/way/41642448) -> no_lang_sitelink: (no article)  [body: 0 chars]
  Q1568116 (austria/way/45451590) -> matched: Hafnersee  [body: 71 chars]
  Q1644057 (austria/way/45545970) -> matched: Höllerersee  [body: 209 chars]
  Q1571451 (austria/way/45582716) -> no_lang_sitelink: (no article)  [body: 0 chars]
